ΩΝΑΣΕΙΟ ΚΑΡΔΙΟΧΕΙΡΟΥΡΓΙΚΟ ΚΕΝΤΡΟ
11. Ελληνική Κωπηλατική Ομοσπονδία Φιλάθλων Ναυτικών Σωματείων (Ε.Κ.Ο.Φ.Ν.Σ.)
12. Ελληνική Ομοσπονδία Κανόε-Καγιάκ (Ε.Ο.Κ.Κ.)
13. Ελληνική Ομοσπονδία Ποδηλασίας (Ε.Ο.Π.)
14. Ελληνική Ομοσπονδία Φιλάθλων Πάλης (Ε.Ο.Φ.Π.)
15. Ελληνική Ομοσπονδία Πυγμαχίας (Ε.Ο.Π.)
16. Ελληνική Φίλαθλος Ομοσπονδία Επιτραπέζιας Αντισφαίρισης (Ε.Φ.Ο.ΕΠ.Α.)
17. Ελληνική Ομοσπονδία Ιππασίας (Ε.Ο.Ι.)
18. Ελληνική Ομοσπονδία Τζούντο (Ε.Ο.Τ.)
19. Ελληνική Ομοσπονδία Ξιφασκίας (Ε.Ο.Ξ.)
20. Σκοπευτική Ομοσπονδία Ελλάδας (ΣΚ.Ο.Ε.)
21. Ελληνική Φίλαθλος Ομοσπονδία Τοξοβολίας (Ε.Φ.Ο.Τ.)
22. Ελληνική Ομοσπονδία Ταε Κβον Ντο (ΕΛ.Ο.Τ.)
23. Ελληνική Ομοσπονδία Φιλάθλων Σωματείων Αντιπτέρισης (Ε.Ο.Φ.Σ.Α.)
24. Ελληνική Ομοσπονδία Χειμερινών Αθλημάτων (Ε.Ο.Χ.Α.)
25. Ελληνική Ομοσπονδία Μοντέρνου Πεντάθλου (Ε.Ο.ΜΟ.Π.)
26. Ελληνική Ομοσπονδία Γκόλφ (Ε.Ο.Γ.)
27. Ελληνική Ομοσπονδία Καράτε (Ε.Ο.Κ.)
28. Ελληνική Ομοσπονδία Υποβρύχιας Δραστηριότητας και Αθλητικής Αλιείας (Ε.Ο.Υ.Δ.Α.)
29. Ελληνική Αεραθλητική Ομοσπονδία (ΕΛ.Α.Ο.)
30. Αθλητική Ομοσπονδία Ταε Κβον Ντο Ελλάδος (Α.Ο.Τ.Ε.)
31. Ελληνική Ομοσπονδία Μπρίτζ (Ε.Ο.Μ.)
32. Ελληνική Σκακιστική Ομοσπονδία (Ε.Σ.Ο.)
33. Ελληνική Ομοσπονδία Παγκράτιου Αθλήματος (Ε.Ο.Π.Α.)
34. Ελληνική Ομοσπονδία Κρίκετ (ΕΛ.Ο.Κ.)
35. Ελληνική Ομοσπονδία Ορειβασίας – Αναρρίχησης (Ε.Ο.Ο.Α.)
36. Ελληνική Ομοσπονδία Γου Σου Κουνγκ Φου (Ε.Ο.Γ.Σ.Κ.Φ.)
37. Ελληνική Φίλαθλος Ερασιτεχνική Ομοσπονδία Ζίου Ζίτσου (Ε.Φ.Ε.Ο.Ζ.Ζ.)
38. Πανελλήνια Ομοσπονδία Κικ Μπόξινγκ (Π.Ο.Κ.)
39. Ελληνική Ομοσπονδία Μαχητικών Τεχνών Σάμπο, Κούρες, Τσιδαόμπα (Ε.Ο.Μ.Τ.Σ.Κ.Τ.)
40. Αθλητική Μοτοσυκλετιστική Ομοσπονδία Ελλάδας (Α.ΜΟΤ.Ο.Ε.)
41. Ομοσπονδία Μηχανοκίνητου Αθλητισμού Ελλάδος (Ο.Μ.Α.Ε.)
42. Ελληνική Ομοσπονδία Θαλάσσιου Σκι (Ε.Ο.Θ.ΣΚΙ)
43. Ελληνική Ομοσπονδία Αθλητισμού κωφών (Ε.Ο.Α.Κ.)
44. Εθνική Αθλητική Ομοσπονδία Ατόμων με Αναπηρίες (Ε.Α.ΟΜ.ΑμεΑ)
45. Ομοσπονδία Σωματείων Ελλήνων Καλαθοσφαιριστών με Καρότσι (Ο.Σ.Ε.Κ.Κ.)
46. Ομοσπονδία Διαιτητών Ποδοσφαίρου Ελλάδος (Ο.Δ.Π.Ε.)
47. Ομοσπονδία Διαιτητών Καλαθοσφαίρισης Ελλάδος (Ο.Δ.Κ.Ε.)
48. Ομοσπονδία Διαιτητών Βόλλεϋ Ελλάδος (Ο.Δ.Β.Ε.)
49. Ελληνική Ομοσπονδία Κριτών Κλασικού Αθλητισμού (Ε.Ο.Κ.Κ.Α.)
50. Σύνδεσμος Ελλήνων Διαιτητών Υδατοσφαίρισης (Σ.Ε.Δ.Υ.)
51. Πανελλήνιος Σύνδεσμος Κριτών Ποδηλασίας
52. Πανελλήνιος Σύνδεσμος Διαιτητών – Κριτών Πυγμαχίας 
53. Πανελλήνιος Σύνδεσμος Κριτών Υποβρύχιας Δραστηριότητας – Αθλημάτων Αλιείας – Τεχνικής Κολύμβησης
54. Ελληνική Παραολυμπιακή Επιτροπή
55. Διεθνής Ολυμπιακή Ακαδημία                                                                                                                                   56. Σύνδεσμος Διαιτητών Καλαθοσφαίρισης Ελλάδος με Καρότσι
ΑΙΓΙΝΗΤΕΙΟ
ΑΚΑΔΗΜΙΑ ΑΘΗΝΩΝ (Ν.4398/1929)
ΑΛΕΞΑΝΔΡΕΙΑ ΖΩΝΗ ΚΑΙΝΟΤΟΜΙΑΣ (Ν.3489/2006)
ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΠΔ 82/2013)
ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΕΡΙΘΑΛΨΗΣ ΣΥΛΛΟΓΟΥ ΥΠΑΛΛΗΛΩΝ ΤΡΑΠΕΖΑΣ ΕΛΛΑΔΟΣ
ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΡΟΝΟΙΑΣ ΕΡΓΑΖΟΜΕΝΩΝ ΑΓΡΟΤΙΚΗΣ ΤΡΑΠΕΖΑΣ ΤΗΣ ΕΛΛΑΔΟΣ
ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΡΟΝΟΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΑΕΕΓΑ Η ΕΘΝΙΚΗ
ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΡΟΣΩΠΙΚΟΥ ΕΤΒΑ
ΑΛΛΟΤΡΟΠΙΑ «ΛΑΪΚΗ ΑΚΑΔΗΜΙΑ ΓΡΑΜΜΑΤΩΝ, ΤΕΧΝΩΝ ΚΑΙ ΠΑΡΑΔΟΣΗΣ»
ΑΛΣΟΣ ΕΛΛΗΝΙΚΗΣ ΝΑΥΤΙΚΗΣ ΠΑΡΑΔΟΣΗΣ (ΦΕΚ 409/1993 Β)
ΑΛΣΟΣ ΕΛΛΗΝΙΚΗΣ ΝΑΥΤΙΚΗΣ ΠΑΡΑΔΟΣΗΣ (ΦΕΚ 409/1993 Β)
ΑΝΕΞΑΡΤΗΤΟΣ ΔΙΑΧΕΙΡΙΣΤΗΣ ΜΕΤΑΦΟΡΑΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ (ΑΔΜΗΕ) (ΑΡ.98 ΤΟΥ Ν.4001/2011) (ΦΕΚ 10787/2011 ΑΕ-ΕΠΕ) (Ν.4237/2014)
ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΝΟΣ. ΘΕΣΣΑΛΟΝΙΚΗΣ ΘΕΑΓΕΝΕΙΟ (ΕΙΔΙΚΟ)
ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΒΙΟΜΗΧΑΝΙΚΗΣ ΕΡΕΥΝΑΣ, ΤΕΧΝΟΛΟΓΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΡΓΑΣΤΗΡΙΑΚΩΝ ΔΟΚΙΜΩΝ, ΠΙΣΤΟΠΟΙΗΣΗΣ ΚΑΙ ΠΟΙΟΤΗΤΑΣ (ΕΒΕΤΑΜ) (ΑΡ.63 ΤΟΥ Ν.4002/2011)
ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΑΜΟΙΒΑΙΩΝ ΚΕΦΑΛΑΙΩΝ ΑΣΦΑΛΙΣΤΙΚΩΝ ΟΡΓΑΝΙΣΜΩΝ (ΑΡ.12 ΤΟΥ Ν.1902/1990, ΑΡ.35 ΤΟΥ Ν.2076/1992 & ΦΕΚ 758/1992 Β)
ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΔΙΩΡΥΓΑ ΚΟΡΙΝΘΟΥ (Α.Ε.ΔΙ.Κ.) (Ν.1067/1980)
ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ (Α.Ε.Μ.Υ.) (Ν.3293/2004)
ΑΝΩΤΑΤΗ ΔΙΑΚΛΑΔΙΚΗ ΣΧΟΛΗ ΠΟΛΕΜΟΥ (Α.ΔΙ.Σ.ΠΟ.)
ΑΝΩΤΑΤΗ ΠΑΝΕΛΛΗΝΙΑ ΟΜΟΣΠΟΝΔΙΑ ΕΦΕΔΡΩΝ ΑΞΙΩΜΑΤΙΚΩΝ (Α.Π.Ο.Ε.Α.) (Ν.1301/1982)
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΠΑΙΔΑΓΩΓΙΚΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (Α.Σ.ΠΑΙ.Τ.Ε.) (ΠΔ 101/2013)
ΑΝΩΤΕΡΕΣ ΣΧΟΛΕΣ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΑΓΓΕΛΜΑΤΩΝ (Α.Σ.Τ.Ε.)   α) ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΡΟΔΟΥ (Α.Σ.Τ.Ε.Ρ.)                                                                                                     β) ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΡΗΤΗΣ (Α.Σ.Τ.Ε.Κ.)
ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΔΡΑΜΑΤΙΚΗΣ ΤΕΧΝΗΣ ΕΘΝΙΚΟΥ ΘΕΑΤΡΟΥ (ΠΔ 336/1989)
ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΔΡΑΜΑΤΙΚΗΣ ΤΕΧΝΗΣ ΚΡΑΤΙΚΟΥ ΘΕΑΤΡΟΥ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ (ΠΔ 336/1989)
ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΧΟΡΟΥ ΕΘΝΙΚΗΣ ΛΥΡΙΚΗΣ ΣΧΟΛΗΣ (Ν.1158/1981), ΠΔ 372/1983)
ΑΠΟΣΤΟΛΙΚΗ ΔΙΑΚΟΝΙΑ ΤΗΣ ΕΚΚΛΗΣΙΑΣ ΤΗΣ ΕΛΛΑΔΟΣ
ΑΡΑΒΟΕΛΛΗΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΜΠΟΡΙΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ
ΑΡΔΕΥΤΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΣΤΥΜΦΑΛΙΑΣ ΑΣΩΠΟΥ ΚΟΡΙΝΘΙΑΣ (Α.Ο.Σ.Α.Κ.) (ΝΔ 3704/1957)
ΑΡΕΤΑΙΕΙΟ
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ
ΑΡΧΑΙΟΛΟΓΙΚΗ ΕΤΑΙΡΕΙΑ
ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΗΡΑΚΛΕΙΟΥ
ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ
ΑΡΧΕΙΑ ΤΑΙΝΙΩΝ ΕΛΛΑΔΟΣ (ΤΑΙΝΙΟΘΗΚΗ ΕΛΛΑΔΟΣ)
ΑΡΧΗ ΠΡΟΣΦΥΓΩΝ (ΑΡ. 4 ΤΟΥ Ν.4375/2016)
ΑΣΠΡΟΦΟΣ ΑΕ
ΑΣΤΥΝΟΜΙΚΑ ΤΜΗΜΑΤΑ, ΤΜΗΜΑΤΑ ΑΣΦΑΛΕΙΑΣ, ΤΜΗΜΑΤΑ ΤΡΟΧΑΙΑΣ ΚΑΙ ΙΣΟΤΙΜΕΣ ΥΠΗΡΕΣΙΕΣ (845)
ΑΣΤΥΝΟΜΙΚΗ ΑΚΑΔΗΜΙΑ
ΑΣΤΥΝΟΜΙΚΟΙ ΣΤΑΘΜΟΙ, ΣΤΑΘΜΟΙ ΤΡΟΧΑΙΑΣ, ΣΤΑΘΜΟΙ ΤΟΥΡΙΣΤΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ ΚΑΙ ΙΣΟΤΙΜΕΣ ΥΠΗΡΕΣΙΕΣ (178)
ΑΤΤΙΚΟ ΜΕΤΡΟ (Ν.1955/1991 & ΑΡ.1  Ν.3899/2010)
ΑΥΤΟΝΟΜΟΣ ΟΙΚΟΔΟΜΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΑΞΙΩΜΑΤΙΚΩΝ (Α.Ο.Ο.Α.) (Α.Ν.1163/1950)
ΑΥΤΟΤΕΛΕΙΣ ΥΠΗΡΕΣΙΕΣ ΕΠΟΠΤΕΙΑΣ ΟΤΑ (ΑΡ.20 ΤΟΥ Ν.4257/2014) (ΔΕΝ ΛΕΙΤΟΥΡΓΟΥΝ)
ΑΥΤΟΤΕΛΗΣ ΥΠΗΡΕΣΙΑ ΠΡΟΣΤΑΣΙΑΣ ΔΙΚΑΙΩΜΑΤΩΝ ΑΣΘΕΝΩΝ
ΒΑΡΒΑΚΕΙΟ ΙΔΡΥΜΑ
ΒΑΡΒΑΚΕΙΟ ΙΔΡΥΜΑ
ΒΥΖΑΝΤΙΝΟ ΚΑΙ ΧΡΙΣΤΙΑΝΙΚΟ ΜΟΥΣΕΙΟ 
Γ. ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΝΟΣ. ΠΕΙΡΑΙΑ ΜΕΤΑΞΑ
Γ. ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΟΓΚΟΛ. ΝΟΣ. ΑΘΗΝΑΣ Ο ΑΓΙΟΣ ΣΑΒΒΑΣ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)
Γ. ΟΓΚΟΛΟΓΙΚΟ ΝΟΣ. ΚΗΦΙΣΙΑΣ ΟΙ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ
Γ. ΠΑΝΑΡΚΑΔΙΚΟ ΝΟΣ. ΤΡΙΠΟΛΗΣ Η ΕΥΑΓΓΕΛΙΣΤΡΙΑ
Γ.Ν. - Κ.Υ. ΙΚΑΡΙΑΣ
Γ.Ν. - Κ.Υ. ΚΥΘΗΡΩΝ ΤΡΙΦΥΛΛΕΙΟ
Γ.Ν. - Κ.Υ. ΛΗΜΝΟΥ
Γ.Ν. - Κ.Υ. ΝΑΞΟΥ
Γ.Ν. - Κ.Υ. ΝΕΑΠΟΛΕΩΣ ΔΙΑΛΥΝΑΚΕΙΟ
Γ.Ν. - Κ.Υ. ΦΙΛΙΑΤΩΝ
Γ.Ν. ΑΣΚΛΗΠΙΕΙΟ ΒΟΥΛΑΣ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)
Γ.Ν. ΕΛΕΝΑ ΒΕΝΙΖΕΛΟΥ - ΑΛΕΞΑΝΔΡΑ
Γ.Ν. ΜΑΜΑΤΣΕΙΟ - ΜΠΟΔΟΣΑΚΕΙΟ
Γ.Ν. ΠΑΠΑΓΕΩΡΓΙΟΥ
Γ.Ν. ΑΘΗΝΑΣ Η ΠΑΜΜΑΚΑΡΙΣΤΟΣ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)
Γ.Ν. ΑΘΗΝΩΝ Γ. ΓΕΝΝΗΜΑΤΑΣ
Γ.Ν. ΑΘΗΝΩΝ ΕΛΠΙΣ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)
Γ.Ν. ΑΘΗΝΩΝ ΙΠΠΟΚΡΑΤΕΙΟ
Γ.Ν. ΑΘΗΝΩΝ ΚΟΡΓΙΑΛΕΝΕΙΟ - ΜΠΕΝΑΚΕΙΟ Ε.Ε.Σ. (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)
Γ.Ν. ΑΘΗΝΩΝ ΛΑΪΚΟ
Γ.Ν. ΑΘΗΝΩΝ Ο ΕΥΑΓΓΕΛΙΣΜΟΣ - ΟΦΘΑΛΜΙΑΤΡΕΙΟ ΑΘΗΝΩΝ - ΠΟΛΥΚΛΙΝΙΚΗ
Γ.Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Γ.Ν. ΑΜΦΙΣΣΑΣ
Γ.Ν. ΑΝΑΤΟΛΙΚΗΣ ΑΧΑΪΑΣ
Γ.Ν. ΑΡΓΟΛΙΔΑΣ
Γ.Ν. ΑΡΤΑΣ
Γ.Ν. ΑΤΤΙΚΗΣ Κ.Α.Τ.
Γ.Ν. ΑΤΤΙΚΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ - ΑΜΑΛΙΑ ΦΛΕΜΙΓΚ
Γ.Ν. ΒΟΛΟΥ ΑΧΙΛΛΟΠΟΥΛΕΙΟ
Γ.Ν. ΓΡΕΒΕΝΩΝ
Γ.Ν. ΔΡΑΜΑΣ
Γ.Ν. ΕΛΕΥΣΙΝΑΣ ΘΡΙΑΣΙΟ
Γ.Ν. ΖΑΚΥΝΘΟΥ ΑΓ. ΔΙΟΝΥΣΙΟΣ
Γ.Ν. ΗΛΕΙΑΣ
Γ.Ν. ΗΜΑΘΙΑΣ
Γ.Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ Γ. ΓΕΝΝΗΜΑΤΑΣ - Ο ΑΓ. ΔΗΜΗΤΡΙΟΣ
Γ.Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ Γ. ΠΑΠΑΝΙΚΟΛΑΟΥ
Γ.Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ ΙΠΠΟΚΡΑΤΕΙΟ
Γ.Ν. ΙΩΑΝΝΙΝΩΝ ΧΑΤΖΗΚΩΣΤΑ
Γ.Ν. ΚΑΒΑΛΑΣ
Γ.Ν. ΚΑΡΔΙΤΣΑΣ
Γ.Ν. ΚΑΡΠΕΝΗΣΙΟΥ
Γ.Ν. ΚΑΣΤΟΡΙΑΣ
Γ.Ν. ΚΑΤΕΡΙΝΗΣ
Γ.Ν. ΚΕΡΚΥΡΑΣ
Γ.Ν. ΚΕΦΑΛΛΗΝΙΑΣ
Γ.Ν. ΚΙΛΚΙΣ
Γ.Ν. ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ
Γ.Ν. ΚΟΡΙΝΘΟΥ
Γ.Ν. ΛΑΚΩΝΙΑΣ
Γ.Ν. ΛΑΜΙΑΣ
Γ.Ν. ΛΑΣΙΘΙΟΥ
Γ.Ν. ΛΕΥΚΑΔΑΣ
Γ.Ν. ΛΗΞΟΥΡΙΟΥ ΜΑΝΤΖΑΒΙΝΑΤΕΙΟ
Γ.Ν. ΛΙΒΑΔΕΙΑΣ - Γ.Ν. ΘΗΒΩΝ
Γ.Ν. ΜΕΣΣΗΝΙΑΣ
Γ.Ν. ΜΥΤΙΛΗΝΗΣ ΒΟΣΤΑΝΕΙΟ
Γ.Ν. ΝΕΑΣ ΙΩΝΙΑΣ ΚΩΝΣΤΑΝΤΟΠΟΥΛΕΙΟ - ΠΑΤΗΣΙΩΝ
Γ.Ν. ΝΙΚΑΙΑΣ ΠΕΙΡΑΙΑ ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ - Γ.Ν. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Η ΑΓΙΑ ΒΑΡΒΑΡΑ
Γ.Ν. ΝΟΣΗΜΑΤΩΝ ΘΩΡΑΚΟΣ ΑΘΗΝΩΝ Η ΣΩΤΗΡΙΑ
Γ.Ν. ΞΑΝΘΗΣ
Γ.Ν. ΠΑΙΔΩΝ ΑΘΗΝΩΝ Η ΑΓΙΑ ΣΟΦΙΑ
Γ.Ν. ΠΑΙΔΩΝ ΑΘΗΝΩΝ Π. & Α. ΚΥΡΙΑΚΟΥ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)
Γ.Ν. ΠΑΙΔΩΝ ΠΑΤΡΩΝ ΚΑΡΑΜΑΝΔΑΝΕΙΟ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)
Γ.Ν. ΠΑΙΔΩΝ ΠΕΝΤΕΛΗΣ
Γ.Ν. ΠΑΤΡΩΝ
Γ.Ν. ΠΕΙΡΑΙΑ ΤΖΑΝΕΙΟ
Γ.Ν. ΠΕΛΛΑΣ
Γ.Ν. ΠΡΕΒΕΖΑΣ
Γ.Ν. ΡΕΘΥΜΝΟΥ
Γ.Ν. ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ - Γ.Ν. - Κ.Υ. ΚΩ ΙΠΠΟΚΡΑΤΕΙΟΝ - Γ.Ν. - Κ.Υ. ΚΑΛΥΜΝΟΥ ΤΟ ΒΟΥΒΑΛΕΙΟ
Γ.Ν. ΣΑΜΟΥ ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ - Γ.Ν. - Κ.Υ. ΙΚΑΡΙΑΣ
Γ.Ν. ΣΕΡΡΩΝ
Γ.Ν. ΣΥΡΟΥ ΒΑΡΔΑΚΕΙΟ & ΠΡΩΙΟ
Γ.Ν. ΤΡΙΚΑΛΩΝ
Γ.Ν. ΦΛΩΡΙΝΑΣ ΕΛΕΝΗ Θ. ΔΗΜΗΤΡΙΟΥ
Γ.Ν. ΧΑΛΚΙΔΑΣ - Γ.Ν. - Κ.Υ. ΚΑΡΥΣΤΟΥ - Γ.Ν. - Κ.Υ. ΚΥΜΗΣ
Γ.Ν. ΧΑΛΚΙΔΙΚΗΣ
Γ.Ν. ΧΑΝΙΩΝ ΑΓ. ΓΕΩΡΓΙΟΣ
Γ.Ν. ΧΙΟΥ ΣΚΥΛΙΤΣΕΙΟ
ΓΑΙΑΟΣΕ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΣΤΙΚΩΝ ΑΚΙΝΗΤΩΝ, ΚΤΗΜΑΤΙΚΩΝ, ΟΙΚΟΔΟΜΙΚΩΝ, ΤΟΥΡΙΣΤΙΚΩΝ ΚΑΙ ΣΥΝΑΦΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ
